title:Parker_Stroop_3, start timestamp:1607717717.756915, stop timestamp:1607717779.386462, headset type:EPOCPLUS, headset serial:4A2C14BB, headset firmware:634, channels:120, sampling rate:eeg_128;mot_32;pow_8, samples:7907      , version:2.1, cqMode:0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1607717717.756915,5.000000,0.000000,4183.717773,4186.666504,4188.589844,4149.871582,4188.077148,4190.256348,4188.077148,4192.948730,4199.743652,4204.358887,4209.102539,4177.820313,4216.025879,4197.436035,3487.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.764611,6.000000,0.000000,4169.358887,4175.512695,4173.589844,4196.282227,4185.256348,4181.922852,4183.717773,4183.205078,4189.102539,4196.538574,4183.717773,4172.436035,4203.461426,4188.205078,3427.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.772407,7.000000,0.000000,4152.563965,4166.025879,4165.000000,4239.487305,4180.128418,4171.666504,4178.333496,4187.692383,4186.922852,4189.743652,4169.487305,4168.589844,4192.436035,4182.820313,3524.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.780105,8.000000,0.000000,4133.077148,4157.179688,4155.897461,4216.282227,4167.948730,4177.820313,4173.077148,4184.743652,4188.077148,4182.563965,4167.820313,4156.666504,4180.897461,4172.307617,2918.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,2.000000,0.000000,0.684404,-0.265320,-0.678223,-0.034790,0.962905,-0.325689,-0.061524,-31.253529,-166.137177,-6.430152,4.418231,2.316467,1.293980,1.142882,0.498457,5.100932,2.263252,1.154383,1.258626,0.526184,3.608269,3.162855,0.768080,0.861411,0.425237,3.355412,3.160731,1.907107,1.496007,0.898703,1.624448,1.342374,0.453030,0.582428,0.446464,0.334125,1.485884,0.616002,1.367303,0.958975,0.824623,2.625907,0.859087,0.889814,0.462667,1.920750,2.562018,2.450459,1.292878,0.635603,0.854449,1.919269,1.538997,0.970974,0.466661,1.974319,2.585358,1.823110,1.030866,0.442381,2.938694,2.716094,1.560232,1.306777,0.464625,1.925022,2.100371,0.459105,0.595168,0.250887,2.155875,3.006776,1.585081,1.249842,0.594329,2.472759,1.926283,1.244645,0.905330,0.387555
1607717717.787903,9.000000,0.000000,4130.641113,4151.922852,4148.461426,4206.410156,4167.820313,4185.000000,4171.794922,4174.743652,4184.871582,4183.846191,4167.051270,4149.871582,4175.897461,4163.846191,3380.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.795701,10.000000,0.000000,4145.512695,4153.846191,4151.410156,4230.384766,4170.384766,4174.871582,4166.025879,4173.205078,4182.051270,4190.641113,4165.384766,4151.922852,4182.692383,4166.538574,3527.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.803499,11.000000,0.000000,4155.128418,4163.205078,4160.000000,4237.820313,4170.897461,4174.743652,4165.897461,4184.358887,4188.589844,4200.769043,4173.974121,4161.794922,4189.230957,4179.743652,3378.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.811297,12.000000,0.000000,4158.205078,4169.358887,4168.461426,4235.641113,4179.230957,4186.410156,4176.794922,4193.846191,4194.102539,4201.410156,4181.794922,4167.179688,4186.025879,4184.230957,3509.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,3.000000,0.000000,0.684561,-0.266663,-0.677490,-0.035706,0.965835,-0.323247,-0.054688,-31.403067,-167.483017,-5.532921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.819095,13.000000,0.000000,4165.897461,4166.922852,4179.615234,4247.563965,4185.769043,4189.743652,4182.436035,4192.179688,4185.128418,4192.436035,4173.205078,4167.948730,4183.717773,4182.179688,2770.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607717717.826893,14.000000,0.000000,4175.641113,4168.589844,4187.820313,4267.307617,4187.436035,4196.153809,4185.000000,4193.589844,4181.025879,4197.307617,4170.641113,4178.333496,4192.179688,4193.205078,3527.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
