title:jake_stroop_1, start timestamp:1607645967.944055, stop timestamp:1607646017.416165, headset type:EPOCPLUS, headset serial:4A2C14BB, headset firmware:634, channels:120, sampling rate:eeg_128;mot_32;pow_8, samples:6346      , version:2.1, cqMode:0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1607645967.944055,72.000000,0.000000,4206.282227,4211.922852,4197.563965,4180.000000,4196.025879,4196.153809,4200.641113,4213.717773,4205.897461,4201.410156,4216.538574,4201.538574,4199.102539,4205.000000,3467.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,18.000000,0.000000,0.573490,0.107056,-0.796265,0.160034,0.984390,-0.139651,-0.303716,-20.187687,-157.015335,-11.813535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645967.951752,73.000000,0.000000,4211.410156,4207.948730,4205.769043,4183.717773,4208.333496,4197.051270,4201.410156,4217.692383,4209.615234,4208.589844,4219.743652,4203.461426,4202.307617,4209.102539,3633.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645967.959548,74.000000,0.000000,4221.922852,4209.487305,4217.820313,4186.794922,4209.615234,4202.436035,4202.820313,4219.615234,4215.000000,4219.358887,4221.153809,4207.051270,4211.794922,4220.256348,3575.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,5.430953,0.686047,0.324290,0.188299,0.083273,2.629582,0.665364,0.275579,0.324668,0.286934,1.422041,0.573724,0.220115,0.122501,0.125023,1.669127,0.459587,0.158744,0.095256,0.083789,1.572639,0.886227,0.242326,0.491190,0.158469,0.731595,0.715953,0.417267,0.166592,0.096474,0.110769,0.128796,0.080656,0.054641,0.062233,1.074517,0.483208,0.287606,0.160362,0.091221,1.552964,0.830335,0.314380,0.241736,0.149268,2.674888,1.106715,0.299657,0.256277,0.128155,3.453933,0.662540,0.310321,0.156120,0.087786,1.594651,0.882145,0.279170,0.130043,0.070309,10.784998,1.555976,0.485793,0.173733,0.097667,7.403316,0.900719,0.507620,0.158119,0.063788
1607645967.967344,75.000000,0.000000,4216.922852,4208.974121,4212.692383,4183.846191,4203.717773,4199.743652,4202.436035,4216.538574,4214.615234,4217.307617,4214.871582,4205.000000,4212.179688,4216.922852,3482.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645967.975140,76.000000,0.000000,4214.743652,4211.922852,4210.256348,4183.717773,4216.282227,4202.051270,4202.563965,4217.307617,4215.897461,4215.384766,4215.384766,4204.358887,4213.205078,4213.461426,3016.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,19.000000,0.000000,0.573189,0.107849,-0.796509,0.159363,0.986831,-0.129397,-0.308110,-18.991379,-156.566727,-11.364920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645967.982937,77.000000,0.000000,4221.410156,4220.384766,4217.820313,4187.179688,4219.102539,4205.512695,4204.871582,4220.512695,4219.230957,4220.512695,4219.615234,4209.230957,4217.692383,4223.077148,1309.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645967.990733,78.000000,0.000000,4212.948730,4212.436035,4213.589844,4185.641113,4202.948730,4199.358887,4203.333496,4217.948730,4210.512695,4214.743652,4211.410156,4207.563965,4209.871582,4219.102539,3575.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645967.998529,79.000000,0.000000,4204.487305,4202.051270,4201.922852,4182.692383,4198.974121,4195.897461,4200.256348,4213.461426,4200.256348,4202.563965,4199.230957,4201.538574,4197.820313,4206.025879,3482.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645968.006326,80.000000,0.000000,4210.769043,4207.051270,4200.897461,4183.205078,4205.512695,4194.358887,4201.794922,4213.589844,4204.871582,4202.563965,4198.717773,4204.743652,4198.717773,4206.794922,3016.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,20.000000,0.000000,0.572897,0.108765,-0.796692,0.158875,0.965347,-0.127443,-0.321294,-21.084917,-156.267639,-13.009842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607645968.014122,81.000000,0.000000,4210.128418,4205.769043,4204.615234,4184.102539,4201.794922,4191.410156,4203.077148,4215.512695,4212.948730,4210.000000,4205.769043,4207.820313,4201.538574,4212.820313,1309.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
